Datetime,Thrust_Value
01.06.2019 08:06,4145.5435
01.06.2019 08:06,3929.4435
01.06.2019 08:06,3547.8435
01.06.2019 08:06,3273.1435
01.06.2019 08:07,3146.3435
01.06.2019 08:07,3230.3435
01.06.2019 08:07,3382.2435
01.06.2019 08:07,3630.9435
01.06.2019 08:07,3829.4435
01.06.2019 08:07,3889.7435
01.06.2019 08:07,3772.6435
01.06.2019 08:07,3490.4435
01.06.2019 08:07,3271.7435
01.06.2019 08:07,3120.2435
01.06.2019 08:07,2980.7435
01.06.2019 08:07,3002.2435
01.06.2019 08:07,3202.5435
01.06.2019 08:07,3542.7435
01.06.2019 08:07,3688.4435
01.06.2019 08:07,3779.0435
01.06.2019 08:07,3624.6435
01.06.2019 08:07,3410.7435
01.06.2019 08:07,3304.8435
01.06.2019 08:07,3328.8435
01.06.2019 08:07,3426.5435
01.06.2019 08:07,3553.0435
01.06.2019 08:07,3725.5435
01.06.2019 08:07,3716.1435
01.06.2019 08:07,3490.4435
01.06.2019 08:07,3255.3435
01.06.2019 08:07,3129.9435
01.06.2019 08:07,3159.7435
01.06.2019 08:07,3427.5435
01.06.2019 08:07,3426.5435
01.06.2019 08:07,3491.3435
01.06.2019 08:07,3550.0435
01.06.2019 08:07,3426.4435
01.06.2019 08:07,3278.1435
01.06.2019 08:07,3167.8435
01.06.2019 08:07,3071.4435
01.06.2019 08:07,3190.8435
01.06.2019 08:07,3454.9435
01.06.2019 08:07,3549.2435
01.06.2019 08:07,3567.8435
01.06.2019 08:07,3527.9435
01.06.2019 08:07,3416.9435
01.06.2019 08:07,3402.1435
01.06.2019 08:07,3368.5435
01.06.2019 08:07,3388.8435
01.06.2019 08:07,3476.5435
01.06.2019 08:07,3533.5435
01.06.2019 08:07,3430.9435
01.06.2019 08:07,3213.5435
01.06.2019 08:07,3102.6435
01.06.2019 08:07,3104.4435
01.06.2019 08:07,3216.9435
01.06.2019 08:07,3336.8435
01.06.2019 08:07,3405.9435
01.06.2019 08:07,3371.1435
01.06.2019 08:07,3452.5435
01.06.2019 08:07,3576.2435
01.06.2019 08:07,3502.9435
01.06.2019 08:07,3339.0435
01.06.2019 08:07,3154.0435
01.06.2019 08:08,3118.9435
01.06.2019 08:08,3318.8435
01.06.2019 08:08,3400.4435
01.06.2019 08:08,3636.7435
01.06.2019 08:08,3756.6435
01.06.2019 08:08,3534.6435
01.06.2019 08:08,3271.5435
01.06.2019 08:08,3104.7435
01.06.2019 08:08,3138.7435
01.06.2019 08:08,3362.8435
01.06.2019 08:08,3524.8435
01.06.2019 08:08,3512.5435
01.06.2019 08:08,3299.0435
01.06.2019 08:08,3103.3435
01.06.2019 08:08,3055.3435
01.06.2019 08:08,3130.5435
01.06.2019 08:08,3237.4435
01.06.2019 08:08,3253.1435
01.06.2019 08:08,3185.2435
01.06.2019 08:08,3220.0435
01.06.2019 08:08,3284.2435
01.06.2019 08:08,3298.3435
01.06.2019 08:08,3281.2435
01.06.2019 08:08,3224.0435
01.06.2019 08:08,3229.6435
01.06.2019 08:08,3200.0435
01.06.2019 08:08,3393.6435
01.06.2019 08:08,3548.9435
01.06.2019 08:08,3626.2435
01.06.2019 08:08,3529.7435
01.06.2019 08:08,3356.2435
01.06.2019 08:08,3165.7435
01.06.2019 08:08,3010.8435
01.06.2019 08:08,2968.8435
01.06.2019 08:08,3116.4435
01.06.2019 08:08,3359.5435
01.06.2019 08:08,3525.8435
01.06.2019 08:08,3688.1435
01.06.2019 08:08,3753.4435
01.06.2019 08:08,3605.6435
01.06.2019 08:08,3310.9435
01.06.2019 08:08,3067.0435
01.06.2019 08:08,2946.6435
01.06.2019 08:08,3012.5435
01.06.2019 08:08,3205.4435
01.06.2019 08:08,3246.6435
01.06.2019 08:08,3225.3435
01.06.2019 08:08,3189.4435
01.06.2019 08:08,3227.3435
01.06.2019 08:08,3299.6435
01.06.2019 08:08,3362.8435
01.06.2019 08:08,3342.7435
01.06.2019 08:08,3292.1435
01.06.2019 08:08,3268.3435
01.06.2019 08:08,3265.7435
01.06.2019 08:08,3242.3435
01.06.2019 08:08,3193.1435
01.06.2019 08:08,3153.6435
01.06.2019 08:08,3190.0435
01.06.2019 08:08,3284.2435
01.06.2019 08:08,3439.8435
01.06.2019 08:09,3575.3435
01.06.2019 08:09,3601.5435
01.06.2019 08:09,3476.5435
01.06.2019 08:09,3274.9435
01.06.2019 08:09,3087.4435
01.06.2019 08:09,2965.8435
01.06.2019 08:09,2981.0435
01.06.2019 08:09,3107.2435
01.06.2019 08:09,3190.8435
01.06.2019 08:09,3343.4435
01.06.2019 08:09,3411.6435
01.06.2019 08:09,3343.4435
01.06.2019 08:09,3216.6435
01.06.2019 08:09,3071.4435
01.06.2019 08:09,2974.1435
01.06.2019 08:09,2993.9435
01.06.2019 08:09,3082.7435
01.06.2019 08:09,3208.8435
01.06.2019 08:09,3325.3435
01.06.2019 08:09,3324.3435
01.06.2019 08:09,3267.9435
01.06.2019 08:09,3191.4435
01.06.2019 08:09,3138.1435
01.06.2019 08:09,3109.3435
01.06.2019 08:09,3125.7435
01.06.2019 08:09,3218.8435
